Movie Name,Release Date,Verdict,Adjusted Net Gross,Genre,Runtime,Ratings,Budget,Production Banner,Actors,Director
Chandaal,1998-03-13,Semi Hit,350924330.0,Action,133 min,90.00% (1 Ratings),20000000.0,Aabha Films,"['Mithun Chakraborty', 'Sneha', 'Emesha Nagi', 'Rami Reddy']",T.L.V. Prasad
Aastha,1997-01-03,Semi Hit,262640270.0,Drama,132 min,0.00% (0 Ratings),15000000.0,Aarohi Film Makers,"['Rekha', 'Om Puri', 'Dinesh Thakur', 'Anwesha Bhattacharya']",Basu Bhattacharya
Munnibai,1999-07-30,Semi Hit,130021840.0,Action,113 min,75.00% (1 Ratings),4000000.0,Gulab Films,"['Dharmendra', 'Sapna', 'Durgesh Nandini', 'Mohan Joshi']",Kanti Shah
Murdaa,1998-08-14,Semi Hit,66549640.0,Horror,125 min,0.00% (0 Ratings),2500000.0,2000 Films,"['Poonam Dasgupta', 'Raj Premi', 'Sapna', 'Gulshan Rana']",Kishan Shah
Koyla,1997-04-18,Average,1405813060.0,Action,162 min,44.77% (107 Ratings),120000000.0,Filmkraft Pvt. Ltd.,"['Shahrukh Khan', 'Madhuri Dixit', 'Amrish Puri', 'Ranjeet']",Rakesh Roshan
Mann,1999-07-09,Average,1152405110.0,Love Story,181 min,55.00% (18 Ratings),140000000.0,Maruti International,"['Aamir Khan', 'Manisha Koirala', 'Sharmila Tagore', 'Dipti Bhatnagar']",Indra Kumar
Aatish,1994-06-17,Average,1127881760.0,Action,163 min,86.67% (3 Ratings),40000000.0,Sippy Films Pvt. Ltd.,"['Sanjay Dutt', 'Aditya Pancholi', 'Raveena Tandon', 'Karisma Kapoor']",Sanjay Gupta
Hindustan Ki Kasam,1999-07-23,Average,1091721840.0,Action,153 min,70.00% (2 Ratings),130000000.0,Ajay Devgn Films,"['Amitabh Bachchan', 'Ajay Devgn', 'Manisha Koirala', 'Sushmita Sen']",Veeru Devgan
Baadshah,1999-08-27,Average,1060755100.0,Comedy,171 min,47.65% (132 Ratings),110000000.0,Venus Records & Tapes Pvt. Ltd.,"['Rakhee', 'Shahrukh Khan', 'Twinkle Khanna', 'Amrish Puri']",Abbas - Mustan
China Gate,1998-11-27,Average,1001610550.0,Action,163 min,52.50% (2 Ratings),92500000.0,Santoshi Productions,"['Om Puri', 'Naseeruddin Shah', 'Danny Denzongpa', 'Amrish Puri']",Rajkumar Santoshi
Krishna,1996-08-02,Average,960930640.0,Action,159 min,86.67% (3 Ratings),62500000.0,Time Magnetics Pvt. Ltd.,"['Suneil Shetty', 'Karisma Kapoor', 'Shakti Kapoor', 'Tinnu Anand']",S. Deepak
Ajay,1996-12-27,Average,959007240.0,Action,167 min,0.00% (0 Ratings),60000000.0,Shree Krishna International,"['Sunny Deol', 'Karisma Kapoor', 'Reena Roy', 'Suresh Oberoi']",Suneel Darshan
Arjun Pandit,1999-08-20,Average,876878060.0,Action,145 min,65.00% (2 Ratings),95000000.0,Ratan International,"['View Full Cast & Crew', 'SYNOPSIS', ""Arjun Dixit lives a middle class and common man life in Rishikesh. All is well for him until he sees Nisha, and subsequently falls head over heels in love with her. She is also attracted to him, and he announces that he wants to marry her at any cost. That's when Nisha shows her true colours and entraps Arjun Read More"", 'INDIA TERRITORY COLLECTIONS']",nan
Anjaam,1994-04-22,Average,851489180.0,Drama,165 min,92.50% (4 Ratings),26500000.0,Shiv Bharat Films,"['Madhuri Dixit', 'Shahrukh Khan', 'Deepak Tijori', 'Tinnu Anand']",Rahul Rawail
Gadar - Ek Prem Katha,2001-06-15,All Time Blockbuster,4863605410.0,Action,178 min,65.00% (108 Ratings),190000000.0,Zee Motion Pictures,"['Sunny Deol', 'Ameesha Patel', 'Amrish Puri', 'Lillete Dubey']",Anil Sharma
3 Idiots,2009-12-24,All Time Blockbuster,3056763450.0,Drama,170 min,71.86% (271 Ratings),770000000.0,Vidhu Vinod Chopra Productions,"['Aamir Khan', 'Kareena Kapoor', 'R. Madhavan', 'Sharman Joshi']",Rajkumar Hirani
Kabhi Khushi Kabhie Gham...,2001-12-14,Blockbuster,2997907410.0,Drama,210 min,67.92% (307 Ratings),400000000.0,Dharma Productions Pvt. Ltd.,"['Amitabh Bachchan', 'Jaya Bachchan', 'Shahrukh Khan', 'Kajol']",Karan Johar
Kaho Naa... Pyaar Hai,2000-01-14,Blockbuster,2948860710.0,Love Story,171 min,74.73% (55 Ratings),100000000.0,Filmkraft Pvt. Ltd.,"['Hrithik Roshan', 'Ameesha Patel', 'Anupam Kher', 'Dalip Tahil']",Rakesh Roshan
Mohabbatein,2000-10-27,Blockbuster,2569950910.0,Love Story,216 min,58.92% (199 Ratings),190000000.0,Yash Raj Films,"['Amitabh Bachchan', 'Shahrukh Khan', 'Aishwarya Rai', 'Uday Chopra']",Aditya Chopra
Ghajini,2008-12-25,Blockbuster,2309426380.0,Action,179 min,63.91% (101 Ratings),520000000.0,Geetha Arts,"['Aamir Khan', 'Asin', 'Jiah Khan', 'Pradeep Rawat']",A.R. Murugadoss
Dhoom 2,2006-11-24,Blockbuster,2073136690.0,Action,152 min,50.00% (124 Ratings),420000000.0,Yash Raj Films,"['Hrithik Roshan', 'Abhishek Bachchan', 'Aishwarya Rai', 'Uday Chopra']",Sanjay Gadhvi
Krrish,2006-06-23,Blockbuster,1886566890.0,Action,175 min,75.42% (36 Ratings),400000000.0,Filmkraft Pvt. Ltd.,"['Rekha', 'Hrithik Roshan', 'Priyanka Chopra', 'Naseeruddin Shah']",Rakesh Roshan
Om Shanti Om,2007-11-09,Blockbuster,1728559580.0,Masala,162 min,55.30% (268 Ratings),400000000.0,Eros International |  Red Chillies Entertainment,"['Shahrukh Khan', 'Deepika Padukone', 'Arjun Rampal', 'Shreyas Talpade']",Farah Khan
Lage Raho Munnabhai,2006-09-01,Blockbuster,1695957950.0,Drama,146 min,80.20% (25 Ratings),190000000.0,Vidhu Vinod Chopra Productions,"['Sanjay Dutt', 'Arshad Warsi', 'Vidya Balan', 'Boman Irani']",Rajkumar Hirani
Rab Ne Bana Di Jodi,2008-12-12,Blockbuster,1658259310.0,Love Story,166 min,58.12% (213 Ratings),390000000.0,Yash Raj Films,"['Shahrukh Khan', 'Anushka Sharma', 'Vinay Pathak', 'Manmeet Singh']",Aditya Chopra
Raaz,2002-02-01,Blockbuster,1234822800.0,Horror,149 min,76.11% (9 Ratings),52500000.0,Tips Industries Pvt. Ltd. |  Vishesh Films Pvt. Ltd.,"['Dino Morea', 'Bipasha Basu', 'Ashutosh Rana', 'Malini Sharma']",Vikram Bhatt
Vivah,2006-11-10,Blockbuster,984876970.0,Drama,163 min,85.00% (6 Ratings),80000000.0,Rajshri Productions Pvt. Ltd.,"['Shahid Kapoor', 'Amrita Rao', 'Anupam Kher', 'Alok Nath']",Sooraj Barjatya
Koi Mil Gaya,2003-08-08,Super Hit,1868775440.0,Sci Fi / Fantasy,171 min,86.60% (25 Ratings),300000000.0,Filmkraft Pvt. Ltd.,"['Rekha', 'Hrithik Roshan', 'Preity Zinta', 'Rakesh Roshan']",Rakesh Roshan
Welcome,2007-12-21,Super Hit,1604788790.0,Comedy,159 min,83.33% (18 Ratings),480000000.0,Base Industries Group,"['Feroz Khan', 'Anil Kapoor', 'Nana Patekar', 'Akshay Kumar']",Anees Bazmee
Partner,2007-07-20,Super Hit,1392349260.0,Comedy,155 min,72.18% (39 Ratings),280000000.0,Eros International |  Sohail Khan Productions,"['Govinda', 'Salman Khan', 'Lara Datta', 'Katrina Kaif']",David Dhawan
Singh Is Kinng,2008-08-08,Super Hit,1349072760.0,Masala,135 min,82.05% (22 Ratings),500000000.0,Blockbuster Movie Entertainers |  Hari Om Entertainment,"['Akshay Kumar', 'Katrina Kaif', 'Om Puri', 'Kirron Kher']",Anees Bazmee
Chak De India,2007-08-10,Super Hit,1344745110.0,Drama,152 min,70.55% (208 Ratings),220000000.0,Yash Raj Films,"['Shahrukh Khan', 'Vidya Mallavde', 'Tanya Abrol', 'Sagarika Ghatge']",Shimit Amin
Fanaa,2006-05-26,Super Hit,1341282990.0,Love Story,168 min,64.53% (32 Ratings),300000000.0,Yash Raj Films,"['Aamir Khan', 'Kajol', 'Rishi Kapoor', 'Tabu']",Kunal Kohli
Veer Zaara,2004-11-12,Super Hit,1284158010.0,Love Story,192 min,55.59% (178 Ratings),230000000.0,Yash Raj Films,"['Shahrukh Khan', 'Preity Zinta', 'Rani Mukherjee', 'Manoj Bajpai']",Yash Chopra
No Entry,2005-08-26,Super Hit,1272809950.0,Comedy,158 min,69.03% (36 Ratings),240000000.0,S.K. Films Enterprises,"['Anil Kapoor', 'Salman Khan', 'Fardeen Khan', 'Bipasha Basu']",Anees Bazmee
Taare Zameen Par,2007-12-21,Super Hit,1200682450.0,Drama,165 min,68.11% (74 Ratings),180000000.0,Aamir Khan Productions,"['Aamir Khan', 'Darsheel Safary', 'Tisca Chopra', 'Tanay Chheda']",Aamir Khan
Phir Hera Pheri,2006-06-09,Super Hit,1113167750.0,Comedy,153 min,97.08% (12 Ratings),180000000.0,Base Industries Group,"['Akshay Kumar', 'Suneil Shetty', 'Paresh Rawal', 'Bipasha Basu']",Neeraj Vora
Bunty Aur Babli,2005-05-27,Super Hit,1083162710.0,Comedy,164 min,82.00% (5 Ratings),125000000.0,Yash Raj Films,"['Amitabh Bachchan', 'Abhishek Bachchan', 'Rani Mukherjee', 'Raj Babbar']",Shaad Ali
Mujhe Kucch Kehna Hai,2001-05-25,Super Hit,1063351690.0,Love Story,144 min,74.58% (12 Ratings),70000000.0,Puja Entertainment Ltd.,"['Tusshar Kapoor', 'Kareena Kapoor', 'Rinke Khanna', 'Amrish Puri']",Satish Kaushik
Ajab Prem Ki Ghazab Kahani,2009-11-06,Super Hit,1054696390.0,Comedy,162 min,60.00% (54 Ratings),440000000.0,Tips Industries Pvt. Ltd.,"['Ranbir Kapoor', 'Katrina Kaif', 'Upen Patel', 'Darshan Jariwala']",Rajkumar Santoshi
Dhoom,2004-08-27,Super Hit,980741660.0,Action,123 min,67.86% (7 Ratings),110000000.0,Yash Raj Films,"['Abhishek Bachchan', 'Uday Chopra', 'John Abraham', 'Esha Deol']",Sanjay Gadhvi
Jaane Tu... Ya Jaane Na,2008-07-04,Super Hit,905536720.0,Love Story,155 min,89.62% (13 Ratings),150000000.0,Aamir Khan Productions |  PVR Pictures,"['Imran Khan', ""Genelia D'Souza"", 'Manjari Fadnis', 'Ayaz Khan']",Abbas Tyrewala
Kya Kehna,2000-05-19,Super Hit,737720070.0,Drama,155 min,80.00% (2 Ratings),40000000.0,Tips Industries Pvt. Ltd.,"['Saif Ali Khan', 'Chandrachur Singh', 'Preity Zinta', 'Anupam Kher']",Kundan Shah
Malamaal Weekly,2006-03-10,Super Hit,731661360.0,Comedy,137 min,95.00% (2 Ratings),70000000.0,Percept Picture Company,"['Paresh Rawal', 'Om Puri', 'Riteish Deshmukh', 'Reema Sen']",Priyadarshan
Jannat,2008-05-16,Super Hit,642800280.0,Drama,138 min,80.00% (2 Ratings),100000000.0,Vishesh Films Pvt. Ltd.,"['Emraan Hashmi', 'Sonal Chauhan', 'Samir Kochhar', 'Vishal Malhotra']",Kunal Deshmukh
Murder,2004-04-02,Super Hit,512201420.0,Thriller,130 min,49.38% (8 Ratings),50000000.0,Vishesh Films Pvt. Ltd.,"['Emraan Hashmi', 'Ashmit Patel', 'Mallika Sherawat', 'Raj Zutshi']",Anurag Basu
Devdas,2002-07-12,Hit,1976582010.0,Love Story,185 min,54.77% (174 Ratings),440000000.0,Mega Bollywood Pvt.Ltd.,"['Shahrukh Khan', 'Madhuri Dixit', 'Aishwarya Rai', 'Jackie Shroff']",Sanjay Leela Bhansali
Lagaan,2001-06-15,Hit,1865120980.0,Drama,218 min,66.23% (61 Ratings),240000000.0,Aamir Khan Productions,"['Aamir Khan', 'Gracy Singh', 'Rachel Shelley', 'Paul Blackthorne']",Ashutosh Gowariker
Indian,2001-10-26,Hit,1542759140.0,Action,174 min,42.00% (5 Ratings),150000000.0,Sunny Super Sound,"['Sunny Deol', 'Shilpa Shetty', 'Raj Babbar', 'Danny Denzongpa']",N. Maharajan
Kal Ho Naa Ho,2003-11-27,Hit,1320702610.0,Love Story,186 min,66.66% (178 Ratings),280000000.0,Dharma Productions Pvt. Ltd.,"['Jaya Bachchan', 'Shahrukh Khan', 'Saif Ali Khan', 'Preity Zinta']",Nikhil Advani
Dulhan Hum Le Jayenge,2000-03-24,Hit,1280695890.0,Comedy,148 min,59.22% (32 Ratings),110000000.0,Baba Films,"['Salman Khan', 'Karisma Kapoor', 'Om Puri', 'Paresh Rawal']",David Dhawan
Wanted,2009-09-18,Hit,1270982720.0,Action,153 min,72.26% (95 Ratings),520000000.0,BSK Network And Entertainment |  Sahara One Motion Pictures,"['Salman Khan', 'Ayesha Takia', 'Vinod Khanna', 'Prakash Raj']",Prabhu Deva
Rang De Basanti,2006-01-26,Hit,1251556380.0,Drama,155 min,64.58% (72 Ratings),280000000.0,Rakesh Omprakash Mehra Pictures |  UTV Motion Pictures,"['Aamir Khan', 'Siddharth', 'Sharman Joshi', 'Kunal Kapoor']",Rakesh Omprakash Mehra
Main Hoon Na,2004-04-30,Hit,1214338590.0,Masala,179 min,53.35% (173 Ratings),250000000.0,Red Chillies Entertainment,"['Shahrukh Khan', 'Suneil Shetty', 'Sushmita Sen', 'Amrita Rao']",Farah Khan
Don - The Chase Begins Again,2006-10-20,Hit,1200874790.0,Action,171 min,54.36% (181 Ratings),380000000.0,Excel Entertainment,"['Shahrukh Khan', 'Priyanka Chopra', 'Arjun Rampal', 'Boman Irani']",Farhan Akhtar
Jodi No.1,2001-04-13,Hit,1165772740.0,Comedy,154 min,42.50% (2 Ratings),110000000.0,Time Magnetics Pvt. Ltd.,"['Sanjay Dutt', 'Govinda', 'Twinkle Khanna', 'Monica Bedi']",David Dhawan
Bhool Bhulaiyaa,2007-10-12,Hit,1133459620.0,Comedy,158 min,83.13% (8 Ratings),320000000.0,T-Series,"['Akshay Kumar', 'Vidya Balan', 'Shiney Ahuja', 'Ameesha Patel']",Priyadarshan
Badal,2000-02-11,Hit,1120765180.0,Action,166 min,60.00% (1 Ratings),100000000.0,Aftab Pictures Pvt. Ltd.,"['Bobby Deol', 'Rani Mukherjee', 'Mayuri Kango', 'Amrish Puri']",Raj Kanwar
Heyy Babyy,2007-08-24,Hit,1044790880.0,Comedy,144 min,79.00% (5 Ratings),360000000.0,Eros International |  Nadiadwala Grandson Entertainment,"['Akshay Kumar', 'Vidya Balan', 'Fardeen Khan', 'Riteish Deshmukh']",Sajid Khan
Guru,2007-01-12,Hit,1034116010.0,Drama,166 min,55.00% (4 Ratings),220000000.0,Madras Talkies,"['Mithun Chakraborty', 'Abhishek Bachchan', 'Aishwarya Rai', 'R. Madhavan']",Mani Ratnam
Race,2008-03-21,Hit,1028345810.0,Thriller,148 min,79.50% (10 Ratings),460000000.0,Tips Industries Pvt. Ltd. |  UTV Motion Pictures,"['Anil Kapoor', 'Saif Ali Khan', 'Akshaye Khanna', 'Bipasha Basu']",Abbas - Mustan
Mujhse Shaadi Karogi,2004-07-30,Hit,1007957770.0,Comedy,158 min,71.21% (33 Ratings),190000000.0,Nadiadwala Grandson Entertainment,"['Salman Khan', 'Akshay Kumar', 'Priyanka Chopra', 'Amrish Puri']",David Dhawan
Love Aaj Kal,2009-07-31,Hit,1006322880.0,Rom - Com,129 min,77.94% (17 Ratings),560000000.0,Eros International |  Illuminati Films,"['Saif Ali Khan', 'Deepika Padukone', 'Rishi Kapoor', 'Rahul Khanna']",Imtiaz Ali
Golmaal Returns,2008-10-29,Hit,983915270.0,Comedy,135 min,38.00% (5 Ratings),350000000.0,Shree Ashtavinayak Cinevision Ltd.,"['Ajay Devgn', 'Kareena Kapoor', 'Arshad Warsi', 'Tusshar Kapoor']",Rohit Shetty
Bhagam Bhag,2006-12-22,Hit,974682950.0,Comedy,150 min,100.00% (3 Ratings),320000000.0,Popcorn Motion Pictures Pvt. Ltd. |  Shree Ashtavinayak Cinevision Ltd.,"['Akshay Kumar', 'Govinda', 'Paresh Rawal', 'Lara Datta']",Priyadarshan
Hamara Dil Aapke Paas Hai,2000-08-25,Hit,944870250.0,Drama,165 min,55.00% (1 Ratings),90000000.0,S.K. Films Enterprises,"['Anil Kapoor', 'Aishwarya Rai', 'Sonali Bendre', 'Puru Raajkumar']",Satish Kaushik
Garam Masala,2005-11-02,Hit,849758120.0,Comedy,143 min,75.71% (7 Ratings),170000000.0,Ankk Media Arts Pvt. Ltd. |  Venus Records & Tapes Pvt. Ltd.,"['Akshay Kumar', 'John Abraham', 'Rimi Sen', 'Paresh Rawal']",Priyadarshan
Baghban,2003-10-03,Hit,766763410.0,Drama,181 min,68.90% (41 Ratings),100000000.0,B.R. Films,"['Amitabh Bachchan', 'Hema Malini', 'Salman Khan', 'Mahima Chaudhary']",Ravi Chopra
Andaaz,2003-05-23,Hit,766571070.0,Love Story,147 min,71.00% (5 Ratings),92500000.0,Shree Krishna International,"['Akshay Kumar', 'Lara Datta', 'Priyanka Chopra', 'Aman Verma']",Raj Kanwar
Chalte Chalte,2003-06-13,Hit,760416190.0,Love Story,167 min,45.19% (103 Ratings),110000000.0,Dreamz Unlimited,"['Shahrukh Khan', 'Rani Mukherjee', 'Jas Arora', 'Satish Shah']",Aziz Mirza
Munnabhai M.B.B.S.,2003-12-19,Hit,758011940.0,Comedy,156 min,88.33% (15 Ratings),100000000.0,Vidhu Vinod Chopra Productions,"['Sunil Dutt', 'Sanjay Dutt', 'Gracy Singh', 'Jimmy Shergill']",Rajkumar Hirani
New York,2009-06-26,Hit,752145570.0,Thriller,153 min,76.25% (8 Ratings),280000000.0,Yash Raj Films,"['John Abraham', 'Katrina Kaif', 'Neil Nitin Mukesh', 'Irrfan Khan']",Kabir Khan
Golmaal - Fun Unlimited,2006-07-14,Hit,740028150.0,Comedy,147 min,85.00% (4 Ratings),150000000.0,Shree Ashtavinayak Cinevision Ltd.,"['Ajay Devgn', 'Arshad Warsi', 'Sharman Joshi', 'Tusshar Kapoor']",Rohit Shetty
Masti,2004-04-09,Hit,708965240.0,Comedy,159 min,77.50% (2 Ratings),120000000.0,Maruti International,"['Ajay Devgn', 'Vivek Oberoi', 'Aftab Shivdasani', 'Riteish Deshmukh']",Indra Kumar
Hulchul,2004-11-26,Hit,652898130.0,Comedy,167 min,77.86% (7 Ratings),100000000.0,Venus Records & Tapes Pvt. Ltd.,"['Akshaye Khanna', 'Kareena Kapoor', 'Suneil Shetty', 'Paresh Rawal']",Priyadarshan
Saathiya,2002-12-20,Hit,641646240.0,Love Story,132 min,30.00% (2 Ratings),75000000.0,Kaleidoscope Entertainment Pvt. Ltd.,"['Rani Mukherjee', 'Vivek Oberoi', 'Tanuja', 'Satish Shah']",Shaad Ali
Salaam Namaste,2005-09-09,Hit,608659930.0,Rom - Com,158 min,89.00% (5 Ratings),110000000.0,Yash Raj Films,"['Saif Ali Khan', 'Preity Zinta', 'Arshad Warsi', 'Tania Zaetta']",Siddharth Anand
Jab We Met,2007-10-26,Hit,595965490.0,Rom - Com,155 min,79.09% (11 Ratings),150000000.0,Shree Ashtavinayak Cinevision Ltd.,"['Shahid Kapoor', 'Kareena Kapoor', 'Tarun Arora', 'Dara Singh']",Imtiaz Ali
Bhoot,2003-05-30,Hit,594522940.0,Horror,113 min,80.00% (1 Ratings),67500000.0,Dream Merchants Enterprise,"['Ajay Devgn', 'Urmila Matondkar', 'Nana Patekar', 'Rekha']",Ram Gopal Verma
Hum Tum,2004-05-28,Hit,562883010.0,Love Story,147 min,97.14% (7 Ratings),85000000.0,Yash Raj Films,"['Saif Ali Khan', 'Rani Mukherjee', 'Rishi Kapoor', 'Kirron Kher']",Kunal Kohli
Kyaa Kool Hai Hum,2005-05-06,Hit,429591390.0,Comedy,172 min,75.00% (1 Ratings),50000000.0,Balaji Motion Pictures,"['Tusshar Kapoor', 'Riteish Deshmukh', 'Isha Koppikar', 'Neha Dhupia']",Sangeeth Sivan
Jism,2003-01-17,Hit,387468930.0,Thriller,129 min,0.00% (0 Ratings),32500000.0,Fish Eye Network Pvt. Ltd. |  Shreya Creations,"['Bipasha Basu', 'John Abraham', 'Gulshan Grover', 'Vinay Pathak']",Amit Saxena
Phoonk,2008-08-22,Hit,219748450.0,Horror,114 min,0.00% (0 Ratings),45000000.0,Ace Movie Company |  One More Though Entertainment Pvt. Ltd.,"['Sudeep', 'Amruta Khanvilkar', 'Ahsaas Channa', 'Ashwini Khalsekar']",Ram Gopal Verma
Ek Chhotisi Love Story,2002-09-06,Hit,210900810.0,Drama,129 min,0.00% (0 Ratings),15000000.0,Paragon Pictures International,"['Manisha Koirala', 'Aditya Seal', 'Ranvir Shorey', 'Saroj Bhargava']",Shashilal K. Nair
A Wednesday!,2008-09-06,Hit,161373260.0,Thriller,104 min,84.17% (6 Ratings),30000000.0,Anjum Rizvi Film Company |  Friday Filmworks Pvt. Ltd. |  UTV Motion Pictures,"['Naseeruddin Shah', 'Anupam Kher', 'Jimmy Shergill', 'Aamir Bashir']",Neeraj Pandey
Bheja Fry,2007-04-13,Hit,143774150.0,Comedy,95 min,85.00% (1 Ratings),15000000.0,Handmade Films,"['Rajat Kapoor', 'Vinay Pathak', 'Sarika', 'Ranvir Shorey']",Sagar Ballary
Chori Chori Chupke Chupke,2001-03-09,Semi Hit,1144615340.0,Love Story,166 min,70.91% (22 Ratings),130000000.0,Emaar Films International,"['Salman Khan', 'Rani Mukherjee', 'Preity Zinta', 'Amrish Puri']",Abbas - Mustan
Kabhi Alvida Na Kehna,2006-08-11,Semi Hit,1021421570.0,Drama,192 min,52.97% (177 Ratings),480000000.0,Dharma Productions Pvt. Ltd.,"['Amitabh Bachchan', 'Shahrukh Khan', 'Abhishek Bachchan', 'Rani Mukherjee']",Karan Johar
Fiza,2000-09-08,Semi Hit,958141710.0,Drama,178 min,88.18% (11 Ratings),55000000.0,The Culture Company |  UTV Motion Pictures,"['Jaya Bachchan', 'Karisma Kapoor', 'Hrithik Roshan', 'Neha']",Khalid Mohamed
Jodhaa Akbar,2008-02-15,Semi Hit,895919720.0,Love Story,213 min,81.40% (25 Ratings),550000000.0,Ashutosh Gowariker Productions |  UTV Motion Pictures,"['Hrithik Roshan', 'Aishwarya Rai', 'Sonu Sood', 'Suhasini Mulay']",Ashutosh Gowariker
Namastey London,2007-03-23,Semi Hit,873896790.0,Love Story,132 min,77.73% (11 Ratings),310000000.0,Blockbuster Movie Entertainers |  Eros International,"['Akshay Kumar', 'Katrina Kaif', 'Rishi Kapoor', 'Clive Standen']",Vipul Amrutlal Shah
Ta Ra Rum Pum,2007-04-27,Semi Hit,828793060.0,Drama,156 min,0.00% (0 Ratings),300000000.0,Yash Raj Films,"['Saif Ali Khan', 'Rani Mukherjee', 'Shruti Seth', 'Victor Banerjee']",Siddharth Anand
Dhamaal,2007-09-07,Semi Hit,785708900.0,Comedy,131 min,87.50% (2 Ratings),190000000.0,Maruti International,"['Sanjay Dutt', 'Arshad Warsi', 'Riteish Deshmukh', 'Aashish Chaudhary']",Indra Kumar
Maine Pyaar Kyun Kiya?,2005-07-15,Semi Hit,765994050.0,Comedy,145 min,63.06% (31 Ratings),150000000.0,Shree Ashtavinayak Cinevision Ltd. |  Sohail Khan Productions,"['Salman Khan', 'Sushmita Sen', 'Katrina Kaif', 'Sohail Khan']",David Dhawan
Shootout At Lokhandwala,2007-05-25,Semi Hit,725410310.0,Action,145 min,85.00% (5 Ratings),180000000.0,Balaji Motion Pictures |  White Feather Films,"['Sanjay Dutt', 'Amitabh Bachchan', 'Arbaaz Khan', 'Suneil Shetty']",Apoorva Lakhia
Sarkar,2005-07-01,Semi Hit,724737120.0,Drama,123 min,87.50% (4 Ratings),140000000.0,K Sera Sera Productions Ltd. |  Ram Gopal Varma Productions,"['Amitabh Bachchan', 'Abhishek Bachchan', 'Kay Kay Menon', 'Katrina Kaif']",Ram Gopal Verma
Tere Naam,2003-08-15,Semi Hit,679537220.0,Love Story,136 min,71.67% (45 Ratings),100000000.0,MAD Entertainment,"['Salman Khan', 'Bhoomika Chawla', 'Sachin Khedekar', 'Savita Prabhune']",Satish Kaushik
Bachna Ae Haseeno,2008-08-15,Semi Hit,637030080.0,Rom - Com,152 min,89.67% (15 Ratings),230000000.0,Yash Raj Films,"['Ranbir Kapoor', 'Deepika Padukone', 'Bipasha Basu', 'Minissha Lamba']",Siddharth Anand
36 China Town,2006-05-05,Semi Hit,596927190.0,Mystery,135 min,63.33% (3 Ratings),190000000.0,Mukta Arts,"['Akshaye Khanna', 'Kareena Kapoor', 'Shahid Kapoor', 'Upen Patel']",Abbas - Mustan
Raaz - The Mystery Continues,2009-01-23,Semi Hit,498833790.0,Horror,150 min,47.50% (4 Ratings),180000000.0,SPE Films India Pvt. Ltd. |  Vishesh Films Pvt. Ltd.,"['Kangana Ranaut', 'Emraan Hashmi', 'Adhyayan Suman', 'Jackie Shroff']",Mohit Suri
Apaharan,2005-12-02,Semi Hit,496333370.0,Action,173 min,0.00% (0 Ratings),110000000.0,Holy Cow Pictures |  Prakash Jha Productions,"['Ajay Devgn', 'Nana Patekar', 'Bipasha Basu', 'Yashpal Sharma']",Prakash Jha
Tujhe Meri Kasam,2003-01-03,Semi Hit,472098530.0,Love Story,167 min,62.50% (2 Ratings),35000000.0,Ushakiron Movies,"['Riteish Deshmukh', ""Genelia D'Souza"", 'Raja Bherwani', 'Shriya Saran']",K. Vijaya Bhaskar
Paa,2009-12-04,Semi Hit,469982790.0,Drama,133 min,47.50% (6 Ratings),210000000.0,AB Corp Ltd. |  MAD Entertainment |  Reliance Entertainment,"['Amitabh Bachchan', 'Abhishek Bachchan', 'Vidya Balan', 'Paresh Rawal']",R. Balki
Hungama,2003-08-01,Semi Hit,461038980.0,Comedy,146 min,85.00% (3 Ratings),60000000.0,Venus Records & Tapes Pvt. Ltd.,"['Akshaye Khanna', 'Paresh Rawal', 'Rimi Sen', 'Shakti Kapoor']",Priyadarshan
Taxi Number 9 2 11,2006-02-24,Semi Hit,453633890.0,Drama,116 min,87.50% (2 Ratings),100000000.0,Ramesh Sippy Entertainment,"['Nana Patekar', 'John Abraham', 'Sonali Kulkarni', 'Sameera Reddy']",Milan Luthria
Bluffmaster,2005-12-16,Semi Hit,438727540.0,Thriller,137 min,73.00% (5 Ratings),100000000.0,Ramesh Sippy Entertainment,"['Abhishek Bachchan', 'Priyanka Chopra', 'Riteish Deshmukh', 'Nana Patekar']",Rohan Sippy
Wake Up Sid,2009-10-02,Semi Hit,397085930.0,Drama,137 min,87.39% (23 Ratings),180000000.0,Dharma Productions Pvt. Ltd.,"['Ranbir Kapoor', 'Konkona Sen Sharma', 'Anupam Kher', 'Supriya Pathak']",Ayan Mukherji
Mere Yaar Ki Shaadi Hai,2002-06-07,Semi Hit,367754080.0,Love Story,159 min,0.00% (0 Ratings),57500000.0,Yash Raj Films,"['Uday Chopra', 'Jimmy Shergill', 'Tulip Joshi', 'Alok Nath']",Sanjay Gadhvi
Apna Sapna Money Money,2006-11-10,Semi Hit,342557540.0,Comedy,134 min,40.00% (1 Ratings),95000000.0,Mukta Arts,"['Jackie Shroff', 'Suneil Shetty', 'Riteish Deshmukh', 'Shreyas Talpade']",Sangeeth Sivan
Gangster - A Love Story,2006-04-28,Semi Hit,316399300.0,Love Story,123 min,80.00% (3 Ratings),65000000.0,Vishesh Films Pvt. Ltd.,"['Emraan Hashmi', 'Shiney Ahuja', 'Kangana Ranaut', 'Gulshan Grover']",Anurag Basu
